"[200,220,200,220,320,398]"	5	4	18
"[200,220,200,220,280,349]"	3	3	21
"[200,220,200,220,320,349]"	5	3	21
"[200,220,200,220,260,246]"	2	2	23
"[200,220,200,220,280,297]"	3	3	26
"[200,220,200,450,490,365]"	2	2	28
"[200,220,200,220,260,398]"	2	2	30
"[200,220,200,300,340,398]"	2	2	32
"[200,220,200,220,340,297]"	6	5	36
"[200,220,200,220,280,398]"	3	3	39
"[200,220,200,220,360,246]"	7	6	44
"[200,240,200,300,420,398]"	3	5	44
"[200,220,200,450,510,365]"	3	3	47
"[200,220,200,220,320,297]"	5	4	50
"[200,220,200,220,340,349]"	6	4	50
"[200,220,200,220,360,398]"	7	5	50
"[200,220,200,450,550,365]"	5	4	53
"[200,220,200,300,440,398]"	7	5	53
"[200,220,200,220,260,297]"	2	2	55
"[200,220,200,220,360,297]"	7	5	55
"[200,220,200,450,570,365]"	6	5	59
"[200,220,200,220,360,349]"	7	5	59
"[200,220,200,220,280,246]"	3	3	62
			
"[200,220,200,220,360,398]"	7	5	0
"[200,220,200,220,320,297]"	5	4	3
"[200,220,200,220,360,246]"	7	6	8
"[200,220,200,220,320,349]"	5	4	11
"[200,220,200,450,490,365]"	2	2	13
"[200,220,200,300,400,398]"	5	4	16
"[200,220,200,220,320,246]"	5	5	21
"[200,220,200,300,360,398]"	3	3	24
"[200,220,200,220,340,398]"	6	5	28
"[200,220,200,220,280,246]"	3	3	31
"[200,220,200,220,360,349]"	7	6	36
"[200,220,200,450,550,365]"	5	4	39
"[200,220,200,450,590,365]"	7	5	39
"[200,220,200,220,340,246]"	6	7	43
"[200,220,200,220,260,246]"	2	3	43
"[200,220,200,220,260,349]"	2	2	45
"[200,220,200,220,320,398]"	5	4	48
"[200,220,200,220,260,297]"	2	2	50
"[200,220,200,300,440,398]"	7	6	55
"[200,220,200,220,280,398]"	3	3	58
"[200,220,200,220,280,297]"	3	3	61
"[200,220,200,300,340,398]"	2	2	63
"[200,220,200,220,340,349]"	6	5	67
"[200,220,200,220,340,297]"	6	4	67
"[200,220,200,220,280,349]"	3	3	70
"[200,240,200,300,420,398]"	3	5	70
"[200,220,200,450,510,365]"	3	3	73
"[200,220,200,220,260,398]"	2	2	75
"[200,220,200,220,360,297]"	7	6	80
			
"[200,220,200,220,340,398]"	6	6	6
"[200,220,200,220,340,349]"	6	6	12
"[200,220,200,220,360,398]"	7	7	19
"[200,220,200,450,510,365]"	3	3	22
"[200,220,200,220,360,246]"	7	8	27
"[200,220,200,450,570,365]"	6	6	33
"[200,220,200,300,340,398]"	2	2	35
"[200,220,200,220,360,297]"	7	8	40
"[200,220,200,220,340,297]"	6	6	46
"[200,220,200,300,360,398]"	3	4	47
"[200,220,200,220,280,398]"	3	4	48
"[200,220,200,300,400,398]"	5	5	53
"[200,220,200,220,320,398]"	5	6	56
"[200,220,200,220,280,246]"	3	4	57
"[200,220,200,220,280,297]"	3	4	58
"[200,220,200,450,550,365]"	5	7	58
"[200,220,200,300,440,398]"	7	7	65
"[200,220,200,220,260,246]"	2	2	67
"[200,220,200,220,320,349]"	5	4	70
"[200,220,200,220,320,297]"	5	4	73
"[200,240,200,300,420,398]"	3	6	73
"[200,220,200,220,280,349]"	3	3	76
"[200,220,200,220,340,246]"	6	6	82
"[200,220,200,220,260,297]"	2	2	84
"[200,220,200,220,360,349]"	7	7	91
"[200,220,200,220,320,246]"	5	5	96
"[200,220,200,220,260,349]"	2	2	98
"[200,220,200,450,490,365]"	2	2	100
"[200,220,200,220,260,398]"	2	2	102
			
"[200,220,200,450,590,365]"	7	6	5
"[200,220,200,220,280,246]"	3	3	8
"[200,220,200,220,320,398]"	5	4	11
"[200,220,200,220,340,398]"	6	5	15
"[200,220,200,450,570,365]"	6	5	19
"[200,220,200,450,510,365]"	3	3	22
"[200,220,200,220,360,246]"	7	6	27
"[200,220,200,220,260,398]"	2	2	29
"[200,220,200,220,280,297]"	3	3	32
"[200,220,200,220,320,246]"	5	5	37
"[200,220,200,220,260,246]"	2	2	39
"[200,220,200,450,550,365]"	5	4	42
"[200,220,200,220,320,297]"	5	5	47
"[200,220,200,220,340,246]"	6	6	53
"[200,220,200,300,340,398]"	2	2	55
"[200,220,200,220,280,398]"	3	3	58
"[200,220,200,300,440,398]"	7	6	63
"[200,240,200,300,420,398]"	3	5	63
"[200,220,200,220,360,398]"	7	6	68
"[200,220,200,220,260,349]"	2	2	70
"[200,220,200,220,320,349]"	5	5	75
"[200,220,200,450,490,365]"	2	2	77
"[200,220,200,220,340,297]"	6	5	81
"[200,220,200,220,280,349]"	3	3	84
"[200,220,200,300,360,398]"	3	3	87
"[200,220,200,220,260,297]"	2	2	89
"[200,220,200,220,360,297]"	7	7	96
"[200,220,200,300,400,398]"	5	5	101
"[200,220,200,220,340,349]"	6	6	107
			
"[200,220,200,220,320,246]"	5	4	3
"[200,220,200,220,260,297]"	2	2	5
"[200,220,200,220,260,398]"	2	2	7
"[200,220,200,220,260,246]"	2	2	9
"[200,220,200,220,360,398]"	7	6	14
"[200,240,200,300,420,398]"	3	3	17
"[200,220,200,450,570,365]"	6	5	21
"[200,220,200,450,590,365]"	7	6	26
"[200,220,200,220,360,349]"	7	5	26
"[200,220,200,450,550,365]"	5	4	29
"[200,220,200,220,280,349]"	3	3	32
"[200,220,200,300,440,398]"	7	7	39
"[200,220,200,220,320,297]"	5	4	42
"[200,220,200,220,340,398]"	6	5	46
"[200,220,200,300,400,398]"	5	4	49
"[200,220,200,300,360,398]"	3	3	52
"[200,220,200,220,280,398]"	3	3	55
			
"[200,220,200,220,360,246]"	7	7	7
"[200,220,200,220,320,297]"	5	5	12
"[200,220,200,220,320,349]"	5	4	15
"[200,220,200,220,360,297]"	7	7	22
"[200,220,200,220,320,246]"	5	4	25
"[200,220,200,300,360,398]"	3	3	28
"[200,220,200,450,550,365]"	5	5	33
"[200,220,200,220,260,349]"	2	2	35
"[200,220,200,220,360,398]"	7	8	40
"[200,220,200,220,340,246]"	6	6	46
"[200,220,200,220,260,297]"	2	2	48
"[200,220,200,300,340,398]"	2	2	50
"[200,220,200,220,320,398]"	5	5	55
"[200,240,200,300,420,398]"	3	5	55
"[200,220,200,300,400,398]"	5	5	60
"[200,220,200,220,340,349]"	6	5	64
"[200,220,200,220,340,297]"	6	5	72
"[200,220,200,450,490,365]"	2	5	72
"[200,220,200,220,340,398]"	6	5	76
"[200,220,200,450,510,365]"	3	5	76
"[200,220,200,450,590,365]"	7	5	76
"[200,220,200,220,280,297]"	3	5	76
"[200,220,200,220,260,398]"	2	5	76
"[200,220,200,220,280,246]"	3	5	76
"[200,220,200,220,360,349]"	7	5	76
"[200,220,200,450,570,365]"	6	5	80
"[200,220,200,220,280,398]"	3	5	80
"[200,220,200,300,440,398]"	7	5	80
			
"[200,220,200,450,570,365]"	6	5	4
"[200,220,200,220,340,246]"	6	0	0
"[200,220,200,220,260,297]"	2	2	2
"[200,220,200,220,320,246]"	5	5	7
"[200,220,200,220,320,349]"	5	4	10
"[200,220,200,450,570,365]"	6	5	14
"[200,220,200,220,260,349]"	2	2	16
