
[200, 220, 200, 220, 340, 246]	6	3	 Score: 108
[200, 220, 200, 220, 280, 246]	3	5	 Score: 112
[200, 220, 200, 220, 260, 349]	2	4	 Score: 113
[200, 220, 200, 300, 340, 398]	2	2	 Score: 115
[200, 220, 200, 220, 260, 246]	2	2	 Score: 117
[200, 220, 200, 220, 300, 297]	4	2	 Score: 119
[200, 220, 200, 220, 260, 297]	2	0	 Score: 0
[200, 220, 200, 450, 570, 365]	6	2	 Score: 2
[200, 220, 200, 220, 320, 297]	5	5	 Score: 6
[200, 220, 200, 450, 550, 365]	5	4	 Score: 9
[200, 220, 200, 220, 280, 349]	3	5	 Score: 14
[200, 220, 200, 300, 380, 398]	4	3	 Score: 17
[200, 220, 200, 300, 400, 398]	5	3	 Score: 19
[200, 220, 200, 220, 300, 349]	4	4	 Score: 22
[200, 220, 200, 450, 530, 365]	4	3	 Score: 24
[200, 220, 200, 220, 360, 246]	7	3	 Score: 26
[200, 220, 200, 300, 420, 398]	6	6	 Score: 31
[200, 220, 200, 300, 340, 398]	2	6	 Score: 37
[200, 220, 200, 220, 340, 246]	6	2	 Score: 39
[200, 220, 200, 450, 590, 365]	7	6	 Score: 45
[200, 220, 200, 450, 510, 365]	3	7	 Score: 52
[200, 220, 200, 300, 360, 398]	3	4	 Score: 53
[200, 220, 200, 220, 360, 349]	7	3	 Score: 56
[200, 220, 200, 220, 300, 297]	4	6	 Score: 61
[200, 220, 200, 220, 320, 349]	5	4	 Score: 65
[200, 220, 200, 220, 320, 246]	5	5	 Score: 70
[200, 220, 200, 220, 280, 398]	3	4	 Score: 73
[200, 220, 200, 220, 360, 297]	7	2	 Score: 74
[200, 220, 200, 220, 260, 246]	2	6	 Score: 79
[200, 220, 200, 220, 340, 398]	6	2	 Score: 81
[200, 220, 200, 450, 490, 365]	2	5	 Score: 85
[200, 220, 200, 220, 340, 297]	6	2	 Score: 87
[200, 220, 200, 220, 280, 246]	3	5	 Score: 91
[200, 220, 200, 220, 300, 246]	4	3	 Score: 94
[200, 220, 200, 220, 340, 349]	6	4	 Score: 98
[200, 220, 200, 220, 260, 349]	2	5	 Score: 102
[200, 220, 200, 220, 360, 398]	7	2	 Score: 104
[200, 220, 200, 220, 300, 398]	4	6	 Score: 109
[200, 220, 200, 220, 320, 398]	5		 Score: 109
[200, 220, 200, 220, 260, 398]	2	5	 Score: 114
[200, 220, 200, 300, 440, 398]	7	3	 Score: 114
[200, 220, 200, 220, 280, 297]	3	6	 Score: 119
[200, 220, 200, 220, 340, 246]	6	0	 Score: 0
[200, 220, 200, 300, 340, 398]	2	5	 Score: 4
[200, 220, 200, 220, 340, 297]	6	2	 Score: 6
[200, 220, 200, 450, 510, 365]	3	5	 Score: 10
[200, 220, 200, 220, 340, 398]	6	3	 Score: 13
[200, 220, 200, 300, 440, 398]	7	6	 Score: 19
[200, 220, 200, 220, 280, 246]	3	6	 Score: 24
[200, 220, 200, 450, 550, 365]	5	4	 Score: 25
[200, 220, 200, 450, 490, 365]	2	4	 Score: 28
[200, 220, 200, 300, 420, 398]	6	2	 Score: 30
[200, 220, 200, 220, 260, 398]	2	4	 Score: 30
[200, 220, 200, 450, 590, 365]	7	2	 Score: 32
[200, 220, 200, 220, 340, 349]	6	6	 Score: 37
[200, 220, 200, 300, 400, 398]	5	5	 Score: 41
[200, 220, 200, 300, 380, 398]	4	4	 Score: 44
[200, 220, 200, 220, 360, 246]	7	4	 Score: 48
[200, 220, 200, 220, 260, 349]	2	5	 Score: 48
[200, 220, 200, 220, 260, 246]	2	2	 Score: 50
[200, 220, 200, 450, 570, 365]	6	2	 Score: 52
